#{"t_start": 1759395476.0053387, "env_id": "LunarLander-v3"}
r,l,t
-22.395908,98,156.134669
-24.521351,90,156.358351
-58.44332,80,156.55574
-22.874279,115,156.824005
-56.300029,102,157.068254
-0.448107,83,157.255788
-48.956797,77,157.451088
-50.194331,112,157.72588
-50.209583,78,157.919633
11.3216,81,158.115617
-20.055421,105,158.374635
-18.794965,87,158.58084
-53.388734,82,158.772146
-55.774716,79,158.96482
-64.707678,97,159.19779
16.684243,91,159.415583
-13.22681,73,159.584813
-236.729052,100,159.816041
-97.441576,78,159.999056
-66.816587,96,160.231829
-82.801056,113,160.509944
-7.30779,92,160.742494
-47.566288,119,161.015036
-48.754915,111,161.287366
-259.745625,105,161.534427
-22.138357,84,161.733418
-61.572972,97,161.97219
-86.420916,97,162.21017
21.784152,118,162.488292
-33.361467,83,162.697214
-113.863975,234,163.332183
-39.443449,84,163.530197
-73.955236,120,163.819878
-60.119374,111,164.087358
-9.783816,70,164.256011
-106.703259,83,164.448732
-19.731357,73,164.615171
-0.829839,91,164.844992
-54.752272,65,164.999993
-46.091512,114,165.257941
-36.077063,72,165.427291
-75.559971,113,165.700539
-25.670357,86,165.896854
-32.149852,109,166.163402
-188.043887,135,166.480042
-62.818115,93,166.710299
-62.273701,93,166.942139
-9.201004,84,167.146159
-67.148218,112,167.402759
-33.722686,108,167.670051
-62.83389,105,167.915066
-31.345095,81,168.105288
-60.329704,100,168.35198
-29.729381,87,168.564052
-27.847792,87,168.77913
-62.956421,83,168.972017
-33.769865,99,169.210302
-7.898991,80,169.402098
-16.718227,92,169.676992
-40.862326,100,169.923567
-45.28601,103,170.162612
-36.236031,95,170.395779
-83.902342,118,170.682696
8.353732,126,171.012399
-19.782234,134,171.325371
-27.853292,159,171.711042
-50.163551,86,171.910202
11.954557,77,172.094626
-37.179446,81,172.302229
-37.84774,77,172.510044
-45.243284,98,172.745659
20.219943,127,173.139254
4.28691,97,173.412796
-61.988757,64,173.58732
2.752331,123,173.897257
5.748271,75,174.087911
-33.546724,114,174.380216
-32.330067,106,174.641583
-1.444236,94,174.874697
-28.883575,105,175.111644
-22.275457,82,175.300126
28.374717,86,175.50356
-69.640675,84,175.707533
-56.513637,112,175.974078
-104.608562,82,176.166237
18.116749,136,176.508242
46.240147,104,176.756543
-47.142652,77,176.954036
-17.145307,117,177.240113
-45.921518,87,177.44339
-23.529127,102,177.692714
3.587769,161,178.083784
10.513634,80,178.277495
-131.562047,87,178.490549
-25.623027,118,178.798407
-75.652557,109,179.055852
-41.834782,90,179.273113
-25.530218,94,179.522796
-36.688191,103,179.788395
-26.822751,103,180.038741
-35.421653,97,180.273071
-15.067426,98,180.513628
-19.13118,87,180.723345
-95.459923,90,180.944383
-109.298966,98,181.201483
-75.910276,99,181.440441
