#{"t_start": 1759412282.3366299, "env_id": "LunarLander-v3"}
r,l,t
-840.696622,130,83.696983
-626.055091,72,83.728461
-845.427947,131,84.030459
-739.547837,105,84.087781
-675.165689,93,84.130997
-455.683865,87,84.184472
-576.296627,75,84.21716
-927.33247,123,84.283661
-839.36989,120,84.551628
-447.038894,85,84.610115
-1322.67236,177,84.707397
-2111.821747,234,85.065739
-586.465763,108,85.129133
-611.251463,88,85.167802
-646.558083,83,85.215521
-735.9913,109,85.265627
-520.679488,88,85.528943
-1036.443598,175,85.616664
-606.156278,78,85.666136
-764.243049,111,85.717165
-407.028657,80,85.761949
-656.941247,79,86.036032
-889.716763,126,86.105942
-499.701238,75,86.15265
-2082.630186,253,86.503838
-463.304039,88,86.553537
-718.104806,101,86.616907
-598.665424,75,86.651747
-656.902184,102,86.70566
-716.036544,118,86.768137
-1063.569084,154,87.083024
-967.656869,122,87.155875
-807.135746,126,87.228397
-703.771933,134,87.585831
-1173.016327,165,87.6883
-613.282562,110,87.75446
-502.378078,84,87.799388
-1215.020592,186,88.138343
-630.941529,115,88.203831
-1416.356045,181,88.314086
-858.099963,122,88.379625
-978.522636,170,88.728714
-824.956465,113,88.788928
-686.136256,134,88.855115
-768.937283,140,88.924215
-420.031048,75,89.195166
-521.001522,123,89.264446
-514.94336,77,89.306799
-1767.300132,219,89.418572
-884.297832,134,89.722646
-1805.197251,212,89.846151
-721.205608,108,89.903342
-1631.054483,241,90.267881
-722.796706,125,90.339817
-950.847501,161,90.422109
-670.661898,140,90.734568
-466.077112,84,90.784218
-580.806397,82,90.830208
-556.979695,73,90.873846
-3114.793399,300,91.275991
-477.644924,111,91.336346
-456.513653,121,91.402473
-587.372041,75,91.4399
-531.225888,86,91.474651
-661.459244,99,91.761692
-770.443581,135,91.843358
-472.51873,88,91.897979
-569.797042,104,91.951061
-645.422876,101,91.99367
-934.817133,115,92.292992
-489.958161,90,92.345877
-584.016734,78,92.39133
-528.087087,75,92.433132
-404.576131,93,92.476698
-582.136214,108,92.767663
-863.106802,111,92.82867
-546.15884,75,92.87779
-679.123012,154,92.961596
-417.91668,84,93.001733
-567.180723,95,93.283782
-666.519138,123,93.35292
-531.552688,92,93.404589
-446.879784,104,93.463049
-813.777814,124,93.509814
-398.177066,76,93.795948
-1948.275375,225,93.92099
-953.668572,148,93.997176
-468.248428,93,94.281679
-496.322182,82,94.325133
-632.234996,92,94.377705
-1256.79559,190,94.48124
-710.185856,105,94.54172
-534.454076,109,94.841825
-525.680621,78,94.886445
-977.913702,132,94.963628
-731.86194,97,95.014308
-582.699625,86,95.048704
-394.707462,78,95.324902
-1104.493495,189,95.43208
-1059.354414,128,95.505886
-1050.921385,145,95.567367
-522.847432,77,95.869377
-477.328287,100,95.924382
-2277.354782,254,96.060751
-497.804003,79,96.101795
-619.733036,86,96.377188
-766.419747,118,96.447409
-560.325219,103,96.506799
-634.95868,100,96.548148
-581.320486,106,96.609067
-814.892024,124,96.926618
-508.226443,99,96.986745
-2654.098404,330,97.385829
-413.344981,104,97.446525
-544.446361,85,97.493858
-562.685754,114,97.556236
-520.66276,90,97.602943
-906.588694,143,97.908939
-752.488883,101,97.973554
-649.904177,142,98.058321
-970.376583,118,98.121743
-501.472292,90,98.166101
-437.887161,77,98.437142
-1503.516996,209,98.569721
-742.499692,102,98.618232
-571.389244,81,98.655478
-492.243143,74,98.93409
-655.399385,109,99.003457
-527.720516,106,99.063001
-764.408299,102,99.120645
-876.35549,114,99.173394
-514.801258,84,99.451806
-634.986633,89,99.502165
-674.699352,85,99.540258
-813.810513,124,99.627636
-465.944905,77,99.671353
-688.723824,127,99.973142
-770.025566,134,100.064723
-603.068976,126,100.134125
-1190.395829,170,100.219954
-552.435694,126,100.52108
-528.834803,97,100.573965
-870.819495,117,100.640663
-510.195356,77,100.676151
-529.55696,80,100.719072
-586.972305,134,101.033795
-1340.180615,186,101.140409
-1954.075774,232,101.253896
-573.992035,102,101.558027
-575.35001,105,101.613945
-610.740331,89,101.667841
-678.617967,101,101.725796
-1284.371429,159,101.802223
-996.359336,149,102.1136
-2802.14744,308,102.275355
-1365.327425,203,102.620914
-645.768418,82,102.673638
-409.38801,83,102.723036
-401.506847,78,102.759996
-568.139264,88,102.807371
-489.889329,79,103.079054
-570.542686,74,103.124163
-576.98976,95,103.176205
-1089.941392,165,103.259793
-1058.601568,179,103.588742
-492.496574,91,103.643162
-802.474037,105,103.708137
-958.107919,159,103.811107
-427.564253,72,103.851792
-671.592012,143,104.28594
-547.647972,94,104.340765
-749.851065,97,104.401414
-922.736506,128,104.46425
-728.188037,128,104.795159
-500.052015,75,104.829741
-620.500705,132,104.919983
-610.634422,89,104.973179
-846.22771,160,105.068405
-877.216722,115,105.422543
-658.782948,116,105.540427
-489.205762,88,105.593442
-774.732005,127,105.662874
-531.212573,81,105.698955
-682.066846,136,106.064354
-731.029156,124,106.139194
-866.828591,146,106.232544
-571.287091,89,106.284022
-1247.246136,177,106.69822
-618.682195,84,106.751729
-562.174519,84,106.803733
-1660.958837,206,107.190772
-637.26706,89,107.248351
-784.900809,98,107.310022
-627.723359,81,107.362056
-1972.361994,241,107.746018
-652.506415,92,107.801018
-413.729877,80,107.853428
-1190.784198,163,107.952626
-615.547163,97,108.004401
-560.962868,77,108.29692
-1451.195161,192,108.410332
-622.274591,87,108.458966
-367.221085,82,108.506449
-716.785772,131,108.575195
-528.204655,88,108.88681
-571.257802,77,108.936142
-617.626571,83,108.986726
-465.808601,88,109.040051
-528.249554,96,109.091625
-591.890171,72,109.129824
-1456.07974,198,109.509379
-747.74387,105,109.570347
-885.909131,146,109.647855
-571.800055,108,109.973136
-585.711724,98,110.03654
-1402.300136,212,110.163553
-580.624169,96,110.212771
-501.236353,100,110.523182
-592.258764,109,110.587098
-609.719881,95,110.643745
-2021.73514,243,110.779457
-481.338657,87,111.092724
-793.870408,142,111.176402
-541.923058,83,111.22704
-1383.158304,185,111.326018
-1022.285718,149,111.661902
-516.702611,99,111.719672
-557.028233,74,111.763193
-583.84617,103,111.821076
-1064.51177,163,112.16152
-944.6085,166,112.259248
-3010.009596,302,112.427339
-647.214376,76,112.722
-594.200995,99,112.782533
-389.420042,92,112.833405
-894.825889,124,112.906604
-590.194714,76,112.947922
-572.692091,98,113.25238
-746.174169,98,113.309933
-1535.812924,188,113.419501
-1471.349394,185,113.517445
-619.223081,100,113.816857
-426.10488,81,113.8672
-747.242244,122,113.946451
-668.876593,114,114.005244
-681.096984,102,114.057753
-589.576532,101,114.365452
-1304.337634,165,114.463342
-776.654217,141,114.541378
-782.697503,104,114.596478
-660.753733,102,114.900562
-752.734185,142,114.987102
-583.353134,91,115.041196
-3965.1414,366,115.506441
-675.549991,108,115.575285
-599.71494,95,115.629846
-676.520583,95,115.677624
-434.884058,76,115.981819
-1805.823275,225,116.115286
-937.431003,140,116.192158
-1253.503572,166,116.535079
-769.007912,100,116.590216
-845.561877,128,116.665785
-666.476595,88,116.715543
-508.925873,81,116.75779
-601.514321,82,117.120682
-455.921886,92,117.175992
-906.112002,145,117.265918
-891.819908,152,117.351414
-855.60828,115,117.669107
-578.902809,82,117.722026
-565.824655,75,117.766958
-589.961784,77,117.812523
-1033.653411,137,117.893247
-810.952446,99,117.943177
-2231.913698,281,118.354404
-638.693279,73,118.398556
-404.284125,83,118.442699
-921.740407,125,118.768135
-713.612728,121,118.838327
-568.635127,103,118.895984
-856.000306,122,118.962984
-643.528359,98,119.015333
-537.374314,91,119.320838
-590.039447,73,119.366821
-507.592034,85,119.415203
-781.974579,122,119.488776
-734.36577,107,119.543334
-941.985587,135,119.862101
-511.756548,88,119.915892
-667.824223,93,119.972545
-719.240444,105,120.037515
-867.487821,133,120.103589
-743.401325,117,120.405644
-554.161436,79,120.449368
-612.614611,97,120.507847
-851.721996,114,120.569448
-419.197535,80,120.607049
-532.05068,99,120.886049
-523.631232,103,120.939922
-992.519801,129,121.010503
-1469.1668,218,121.118301
-1275.677313,168,121.452018
-685.410467,102,121.512955
-414.998156,77,121.55859
-1072.297947,150,121.631768
-494.522829,81,121.906606
-621.437932,110,121.967878
-860.362025,125,122.041739
-436.613978,81,122.08867
-872.259204,149,122.372233
-647.404417,90,122.423773
-491.31565,86,122.483392
-492.866091,84,122.524015
-698.425343,113,122.587273
-429.638766,76,122.624234
-479.560574,97,122.920461
-753.77203,124,122.996129
-750.792908,139,123.076445
-442.989879,90,123.123736
-595.064038,78,123.159862
-491.709805,76,123.434494
-463.22416,73,123.473632
-673.384785,87,123.521073
-686.760937,114,123.588642
-798.690952,158,123.672865
-530.071639,90,123.965248
-512.35363,81,124.010236
-670.900884,86,124.063029
-555.034804,81,124.111238
-1628.451115,230,124.498024
-448.579251,89,124.555169
-503.294365,88,124.605758
-508.909477,76,124.645135
-520.879646,99,124.693396
-679.74403,99,124.74475
-1525.408099,200,125.100942
-620.144737,123,125.179491
-1307.119518,199,125.293357
-1170.608944,160,125.65975
-412.494895,106,125.720055
-476.388676,92,125.768678
-911.652317,118,125.829005
-1362.536477,195,126.178112
-874.788873,106,126.230243
-585.887222,95,126.288627
-650.148878,110,126.345731
-564.982413,86,126.378617
-583.278897,123,126.678992
-560.539893,78,126.727206
-482.222286,75,126.778918
-1087.355763,199,126.879112
-734.066048,124,127.214667
-444.42353,81,127.264802
-4797.879733,414,127.725222
-1225.205178,164,127.817142
-547.755713,76,127.865592
-570.10222,108,127.917272
-957.64019,138,128.217455
-577.713605,111,128.287365
-537.133041,72,128.317374
-555.958909,79,128.364629
-731.325076,121,128.431994
-832.335351,109,128.717957
-598.183501,96,128.77436
-626.515949,113,128.833956
-471.35473,72,128.875297
-765.551902,110,128.930447
-2561.710089,289,129.330403
-1033.410766,147,129.414857
-879.832867,124,129.469577
-552.82617,95,129.734785
-1074.754312,133,129.820466
-792.414199,115,129.883599
-1666.148294,235,130.240172
-391.893351,89,130.284646
-557.967574,102,130.353022
-975.76725,149,130.435515
-863.694129,156,130.500266
-790.53246,144,130.813735
-553.145842,74,130.85494
-564.885011,93,130.90567
-828.866754,129,130.976924
-861.745042,115,131.276943
-619.696198,111,131.337682
-678.86139,95,131.388466
-661.227075,84,131.433353
-640.158857,88,131.471167
-605.890478,79,131.521215
-687.746981,108,131.826383
-569.231456,80,131.871987
-632.397775,83,131.914713
-486.220425,87,131.968401
-509.044877,84,132.004331
-657.51833,98,132.287449
-642.989665,90,132.342987
-662.447536,91,132.394985
-480.179344,78,132.437161
-2451.438168,261,132.802462
