#{"t_start": 1759397050.241813, "env_id": "LunarLander-v3"}
r,l,t
-75.312217,239,263.701809
198.085745,285,263.847865
198.587383,467,264.096969
232.259734,398,265.439171
230.941962,366,265.649479
219.949421,352,265.834296
213.389259,392,266.049243
172.299153,569,266.357021
156.433345,434,267.859241
-74.654198,407,268.107088
-12.317627,340,268.308663
239.489734,381,268.522625
147.596597,520,268.797002
241.447703,495,270.170791
202.467783,414,270.396962
-51.516394,180,270.497186
186.94658,471,270.747019
237.154261,368,270.941531
219.09689,404,272.367118
200.381442,513,272.674527
-64.217027,305,272.836982
250.93095,368,273.027779
-2.876747,367,273.219623
-147.514865,358,273.411098
-56.280676,273,274.661519
264.204092,331,274.852137
168.430341,436,275.08195
-32.039824,281,275.231023
207.514307,459,275.469438
-20.368758,339,275.651233
206.584416,458,277.015447
-66.693644,205,277.122262
154.388084,523,277.402269
-66.514777,290,277.553066
252.909928,361,277.739551
-25.242718,252,277.877373
-2.427412,295,279.161088
189.258629,408,279.417313
166.569311,370,279.609284
247.38949,329,279.787576
-73.447763,291,279.937046
142.657105,399,281.242244
-56.209115,347,281.449628
245.543632,344,281.629623
194.169832,392,281.831076
219.321291,330,282.005431
229.339941,384,282.20742
231.948951,347,283.489853
246.538947,334,283.682136
228.721113,340,283.859022
-38.776401,292,284.01125
-9.795781,270,284.157248
194.680421,409,284.375712
-104.188978,455,285.709641
145.784845,396,285.930817
-39.542344,269,286.069562
137.579143,569,286.369511
211.589388,317,286.537384
179.415148,425,287.879503
239.977915,320,288.065366
247.361897,345,288.247336
231.257567,344,288.423998
-60.725552,331,288.594005
-3.749571,238,288.71956
195.57496,406,290.039037
165.667596,466,290.309788
228.408107,321,290.479891
187.186163,363,290.67038
231.654874,339,290.849864
194.724201,501,291.109694
206.349108,405,292.479749
-51.969214,243,292.607643
197.472545,388,292.807595
196.302475,489,293.062613
145.901761,582,294.497854
-80.038827,402,294.740593
255.512254,363,294.927895
234.215263,532,295.213847
-47.878801,288,295.359949
-169.361308,579,296.783439
236.863633,417,297.023113
-103.717389,230,297.144479
-25.588853,198,297.250003
204.951985,374,297.447485
-95.005638,440,297.68005
248.555974,328,298.988564
229.85294,308,299.170089
241.921577,301,299.327843
222.208553,313,299.489842
219.167991,309,299.654128
230.522483,378,299.853749
180.339418,566,301.273618
235.533704,511,301.554666
-31.342421,180,301.649967
-45.34803,337,301.827685
218.878962,381,302.030155
-23.949679,239,302.156153
-91.968099,438,303.505223
-23.059491,254,303.643629
-52.454117,221,303.762792
241.179391,329,303.930114
-49.24202,217,304.050426
193.489944,377,304.250448
245.901431,295,304.400212
219.895326,500,305.770484
-23.252803,253,305.908168
-31.952524,282,306.050461
215.000855,442,306.288114
245.840298,316,306.450118
-31.807418,302,306.611985
204.619438,350,307.982889
126.41849,488,308.229231
-132.117339,635,308.550115
149.384688,790,310.018827
259.444453,274,310.171573
234.73916,416,310.378485
197.536964,595,310.672419
239.024782,319,310.831444
132.301418,454,312.096794
152.722619,733,312.473942
-36.164556,349,312.648912
200.693146,303,312.797871
226.379579,297,312.944049
229.385167,343,314.151239
-15.630096,203,314.264112
235.663335,280,314.406809
9.090733,210,314.511084
231.195631,529,314.775393
-118.521904,745,316.211833
230.111442,404,316.423605
250.210386,297,316.570213
-75.320205,346,316.741246
209.840338,424,316.949418
-5.012676,237,317.065417
223.358982,305,318.258046
206.014465,308,318.430802
7.437883,152,318.507306
249.493484,312,318.660497
171.235823,486,318.898051
218.197317,373,319.082341
226.650793,493,320.373507
244.146509,450,320.622231
234.449902,325,320.784117
205.358825,389,320.977284
208.078689,331,321.140377
168.524121,389,321.331769
-117.780502,380,322.599266
253.683855,587,322.893082
197.304576,373,323.076474
208.19774,379,323.264977
235.938836,430,324.544121
215.887275,266,324.695513
199.55452,513,324.956617
-29.27651,375,325.141717
217.808367,631,325.45649
174.313969,417,326.700965
195.334976,421,326.924709
211.94984,330,327.091563
235.148479,434,327.313688
140.241079,628,327.64225
253.861257,323,328.873391
200.716665,408,329.083372
181.879398,297,329.229759
0.950495,310,329.390741
251.113226,454,329.614809
-24.779583,224,329.728679
205.94097,294,330.963857
179.982299,453,331.197164
-19.594931,158,331.272567
231.436663,324,331.435253
187.353177,519,331.691079
211.510684,368,332.910769
215.195699,350,333.100331
238.217411,380,333.300814
223.55809,417,333.505876
-7.947475,162,333.585507
161.070191,459,333.81091
234.450103,327,335.01148
255.156573,458,335.262568
222.581159,356,335.441505
154.406378,626,335.758601
200.815582,381,335.946046
240.521944,343,337.191898
200.345113,319,337.364568
236.103056,331,337.531325
-9.664361,296,337.678824
-14.771438,272,337.812428
124.13835,597,338.112822
202.123631,524,339.478889
227.118596,351,339.651021
-98.243244,589,339.942984
222.161342,318,340.098967
242.83634,290,340.244503
246.721042,435,341.521691
-35.230985,301,341.670973
-68.702337,380,341.861005
244.043093,349,342.033167
218.231175,407,342.231244
233.081146,338,343.449419
-62.356644,269,343.593855
219.923429,472,343.836457
262.088569,485,344.078904
-78.43096,333,344.241959
7.055687,335,344.409184
208.267099,422,345.658715
245.796493,351,345.833746
229.95113,380,346.02522
156.618228,371,346.20802
241.154402,448,346.433452
8.831624,243,347.595686
232.79495,342,347.778839
234.361946,430,347.992692
213.350668,500,348.231084
217.347762,291,348.379011
214.5273,412,349.610835
207.611302,281,349.761015
239.907744,334,349.928848
172.161842,412,350.169017
213.575271,412,350.378856
149.797726,599,351.799258
176.313033,539,352.099877
224.76432,359,352.279288
-23.372384,333,352.4418
255.377667,390,352.633248
211.01843,414,353.869877
204.252456,318,354.054123
225.851711,292,354.201226
202.706143,307,354.353243
248.736168,365,354.534176
-10.598196,223,354.643218
247.201922,446,354.8612
225.438703,313,356.094438
-80.072048,389,356.29926
220.77984,297,356.445788
230.520116,390,356.639669
209.379888,767,358.110722
-37.478014,257,358.261996
181.599217,407,358.474356
223.412849,312,358.62941
215.772548,473,358.875794
215.396854,319,359.034113
232.882183,299,360.22972
255.646511,271,360.38425
250.251375,305,360.542451
-42.447138,197,360.645505
-26.244423,197,360.741497
-38.508289,196,360.839359
296.127603,519,361.098289
273.759826,614,362.481148
-148.693859,352,362.664363
253.869001,279,362.801147
217.278747,319,362.959275
222.992858,325,363.121787
203.036936,325,363.283288
116.281037,624,364.672554
200.766555,287,364.819371
168.672118,424,365.023298
247.964645,324,365.189397
-13.77919,368,365.369076
239.577738,298,366.57392
-1.047947,274,366.731662
227.122993,329,366.89178
-0.699449,198,366.991776
-43.923219,237,367.111746
204.197315,310,367.261524
248.635525,288,367.405742
-14.600896,255,368.58383
229.5033,300,368.759488
-102.864536,270,368.911878
201.120802,430,369.126474
158.835455,489,369.372961
-3.923966,286,369.511692
242.65163,270,370.719767
-20.052255,259,370.874682
269.315047,442,371.104497
222.730197,291,371.249696
229.147521,312,371.410711
240.617301,291,371.556896
227.165573,308,371.704547
224.543684,304,372.881243
197.037365,511,373.151915
150.261073,555,373.430116
171.371538,457,373.662489
204.578821,336,373.829549
254.914809,269,375.042285
-6.469073,230,375.159764
237.255039,467,375.392187
